step,p3o,grpo
1,0.3064236111,0.3072916667
2,0.2769097222,0.2821180556
3,0.2951388889,0.296875
4,0.2934027778,0.3168402778
5,0.28125,0.2855902778
6,0.2960069444,0.3428819444
7,0.2986111111,0.3680555556
8,0.359375,0.4548611111
9,0.3055555556,0.4513888889
10,0.3472222222,0.4340277778
11,0.4348958333,0.5043402778
12,0.4071180556,0.46875
13,0.4340277778,0.4982638889
14,0.4739583333,0.4973958333
15,0.4982638889,0.5043402778
16,0.5503472222,0.5416666667
17,0.5078125,0.5234375
18,0.5121527778,0.4626736111
19,0.5043402778,0.4461805556
20,0.5355902778,0.4201388889
21,0.5069444444,0.3732638889
22,0.5052083333,0.2690972222
23,0.5164930556,0.2682291667
24,0.5477430556,0.1987847222
25,0.5138888889,0.1449652778
26,0.5321180556,0.1102430556
27,0.5,0.05815972222
28,0.5477430556,0.04600694444
29,0.5130208333,0.03385416667
30,0.4921875,0.03993055556
31,0.546875,0.02777777778
32,0.5434027778,0.03472222222
33,0.5234375,0.04079861111
34,0.5486111111,0.0234375
35,0.5225694444,0.02430555556