step,grpo,p3o
1,0.2338867188,0.2338867188
2,0.259765625,0.259765625
3,0.2700195313,0.2700195313
4,0.3115234375,0.3110351563
5,0.3413085938,0.345703125
6,0.4033203125,0.3979492188
7,0.3955078125,0.3959960938
8,0.4965820313,0.4702148438
9,0.4833984375,0.4584960938
10,0.580078125,0.5434570313
11,0.6220703125,0.5737304688
12,0.66796875,0.6064453125
13,0.6728515625,0.6196289063
14,0.6142578125,0.5473632813
15,0.4604492188,0.3598632813
16,0.3715820313,0.25
17,0.2553710938,0.1845703125
18,0.2055664063,0.1762695313
19,0.05859375,0.12890625
20,0.0185546875,0.01318359375
21,0.005859375,0.01025390625
22,0.01806640625,0.0126953125
23,,0.00927734375
24,,0.017578125
25,,0.00634765625
26,,0.00537109375
27,,0.0166015625
28,,0.00927734375